movie;year;gross;director_likes;actor_likes;cast_likes;social_media;facenumber;imdb;budget
Minions;2015;336029560;0;12000;13616;7;0;6.4;174000000
Alice in Wonderland;2010;334185206;13000;76000;79957;10;0;8.5;200000000
Alice in Wonderland;2010;334185206;13000;76000;79957;10;0;6.5;200000000
Guardians of the Galaxy;2014;333130696;5710;31000;32438;10;3;8.1;170000000
Batman v Superman: Dawn of Justice;2016;330249062;11000;21000;24450;9;0;6.9;250000000
Forrest Gump;1994;329691196;6000;15488;15700;8;0;8.8;155000000
The Secret Life of Pets;2016;323505540;1100;2649;4782;6;0;8.8;175000000
Shrek the Third;2007;320706665;5000;4487;4705;7;2;8.1;160000000
Transformers;2007;318759914;6000;1842;2333;6;0;7.1;150000000
Iron Man;2008;318298180;4000;37000;39252;10;3;7.9;140000000
Harry Potter and the Sorcerer's Stone;2001;317557891;1000;12332;13191;7;4;7.5;125000000
Indiana Jones and the Kingdom of the Crystal Skull;2008;317011114;14000;13000;14959;9;2;6.2;185000000
The Lord of the Rings: The Fellowship of the Ring;2001;313837577;47500;21857;22342;10;2;8.8;193000000
Iron Man 2;2010;312057433;4000;44000;48638;10;4;7.1;200000000
Star Wars: Episode II - Attack of the Clones;2002;310675583;0;40000;42990;10;3;6.7;115000000
Pirates of the Caribbean: At World's End;2007;309404152;5630;46000;48350;10;0;7.1;300000000
Star Wars: Episode VI - Return of the Jedi;1983;309125409;3700;12504;13649;8;0;8.4;132500000
Independence Day;1996;306124059;7760;12933;16785;8;0;6.9;175000000
Pirates of the Caribbean: The Curse of the Black Pearl;2003;305388685;563;46000;48184;10;3;8.1;140000000
Skyfall;2012;304360277;12000;1839;2039;7;0;7.8;200000000
Skyfall;2012;304360277;12000;1839;2039;7;0;7.8;200000000
The Hobbit: An Unexpected Journey;2012;303001229;0;6745;9152;7;;7.9;180000000
Harry Potter and the Half-Blood Prince;2009;301956980;2820;46000;58753;10;3;7.5;250000000
The Twilight Saga: Eclipse;2010;300523113;1710;48000;52547;10;3;6.9;168000000
The Twilight Saga: New Moon;2009;296623634;1290;50000;64040;10;2;6.6;150000000
The Sixth Sense;1999;293501675;0;16766;17540;8;0;8.1;140000000
Up;2009;292979556;0;12110;12635;7;1;8.3;175000000
Inception;2010;292568851;22000;79000;81115;10;0;8.8;160000000
The Twilight Saga: Breaking Dawn - Part 2;2012;292298923;3860;50000;59177;10;3;5.5;120000000
The Twilight Saga: Breaking Dawn - Part 2;2012;292298923;3860;50000;59177;10;3;5.5;120000000
Harry Potter and the Order of the Phoenix;2007;292000866;2820;32687;33433;10;3;7.5;150000000
The Chronicles of Narnia: The Lion the Witch and the Wardrobe;2005;291709845;8000;1272;1317;6;5;6.9;180000000
Man of Steel;2013;291021565;0;18748;20495;9;0;7.2;225000000
Star Wars: Episode V - The Empire Strikes Back;1980;290158751;8830;11945;12643;8;0;8.8;118000000
Harry Potter and the Goblet of Fire;2005;289994397;1790;42000;53413;10;1;7.6;150000000
Monsters Inc.;2001;289907418;0;13773;15013;8;0;8.1;115000000
Home Alone;1990;285761243;0;4925;7521;6;5;7.5;118000000
The Hunger Games: Mockingjay - Part 2;2015;281666058;5080;70000;81385;10;1;6.6;160000000
The Matrix Reloaded;2003;281492479;0;1462;1534;2;0;7.2;150000000
Meet the Fockers;2004;279167575;1160;23421;24938;9;6;6.3;180000000
The Hangover;2009;277313371;4800;15545;17623;8;3;7.8;135000000
Gravity;2013;274084951;0;7115;1817;6;0;7.8;100000000
Monsters University;2013;268488329;37;13539;14863;8;0;7.3;200000000
Shrek;2001;267652016;80;216;275;1;1;7.9;160000000
The Amazing Spider-Man;2012;262030663;464;25963;28489;9;0;7.5;230000000
Harry Potter and the Chamber of Secrets;2002;261970615;0;30000;35672;10;1;7.4;100000000
The Incredibles;2004;261437578;6630;1778;1901;6;0;8;192000000
How the Grinch Stole Christmas;2000;260031035;2000;2358;4146;6;0;6;123000000
Jaws;1975;260000000;14000;1738;2047;7;0;8;118000000
Captain America: The Winter Soldier;2014;259746958;9400;32000;36188;10;1;7.8;170000000
The Hobbit: The Desolation of Smaug;2013;258355354;0;6745;9152;7;6;7.9;225000000
The Lego Movie;2014;257756197;9700;21000;22128;9;0;7.8;160000000
Star Trek;2009;257704099;14000;38981;39284;10;0;8;150000000
I Am Legend;2007;256386216;508;11558;13076;7;0;7.2;150000000
The Blind Side;2009;255950375;102;2126;3389;5;0;7.7;129000000
The Hobbit: The Battle of the Five Armies;2014;255108370;0;6745;9152;7;0;7.5;250000000
The Hangover Part II;2011;254455986;4800;15131;16143;8;0;6.5;180000000
Despicable Me;2010;251501645;2750;9975;11608;7;0;7.7;169000000
Batman;1989;251188924;13000;1957;2725;7;0;7.6;135000000
Night at the Museum;2006;250863268;1890;53000;55486;10;2;6.4;110000000
Men in Black;1997;250147615;1808;11428;12998;7;0;7.3;190000000
Harry Potter and the Prisoner of Azkaban;2004;249358727;0;31000;33284;10;3;7.8;130000000
Toy Story 2;1999;245823397;4870;16967;21275;9;2;7.9;190000000
Transformers: Age of Extinction;2014;245428137;0;2738;3988;5;2;5.7;210000000
Cars;2006;244052771;4870;2612;4905;6;0;7.2;120000000
Bruce Almighty;2003;242589580;2930;19000;21276;9;1;6.7;181000000
Raiders of the Lost Ark;1981;242374454;14000;12271;12906;8;1;8.5;118000000
Twister;1996;241688385;101;23794;26239;9;0;6.3;192000000
My Big Fat Greek Wedding;2002;241437427;3800;1128;1495;5;3;6.6;115000000
Maleficent;2014;241407328;1710;13846;15516;8;2;7;180000000
Pirates of the Caribbean: On Stranger Tides;2011;241063875;2520;52000;54083;10;4;6.7;250000000
Shrek Forever After;2010;238371987;3100;4438;4628;6;2;6.4;165000000
Brave;2012;237282182;5600;3838;0;6;0;7.2;185000000
Oz the Great and Powerful;2013;234903076;0;70000;73441;10;4;6.4;215000000
Oz the Great and Powerful;2013;234903076;0;70000;73441;10;4;6.4;215000000
Beverly Hills Cop;1984;234760500;1020;1889;3464;5;1;7.3;114000000
X-Men: The Last Stand;2006;234360014;4200;21368;21714;9;0;6.8;210000000
War of the Worlds;2005;234277056;14000;11807;12758;8;0;6.5;132000000
X-Men: Days of Future Past;2014;233914986;0;76000;91434;10;7;8;200000000
Cast Away;2000;233630478;0;15682;15838;8;1;7.7;190000000
The Lost World: Jurassic Park;1997;229074524;14000;1343;1635;7;0;6.5;173000000
Star Trek Into Darkness;2013;228756232;14000;20909;21411;9;0;7.8;190000000
The Martian;2015;228430993;0;14173;14831;8;1;8.1;108000000
Signs;2002;227965690;0;1481;1675;3;0;6.7;172000000
Hancock;2008;227946274;5320;19979;21584;9;0;6.4;150000000
The Bourne Ultimatum;2007;227137090;5210;14780;17369;8;0;8.1;110000000
Rush Hour 2;2001;226138454;4200;497;664;4;2;6.6;190000000
WALL�E;2008;223806889;4750;2251;2975;6;0;8.4;180000000
Big Hero 6;2014;222487711;380;2037;2963;5;0;7.9;165000000
Alvin and the Chipmunks: The Squeakquel;2009;219613391;840;3000;5227;6;0;4.5;175000000
Mrs. Doubtfire;1993;219200000;0;50711;52201;10;5;6.9;125000000
Ted;2012;218628680;3000;19000;21773;9;1;7;150000000
King Kong;2005;218051260;0;7003;7123;7;0;7.2;207000000
King Kong;2005;218051260;0;7002;7122;7;0;7.2;207000000
King Kong;2005;218051260;0;7002;7122;7;0;7.2;207000000
Ghost;1990;217631306;1090;3027;3100;5;0;7;122000000
The Da Vinci Code;2006;217536138;2000;15936;16008;8;2;6.6;125000000
How to Train Your Dragon;2010;217387997;2505;19712;20453;9;0;8.2;165000000
Aladdin;1992;217350219;63;51631;52970;10;0;8;128000000
Alvin and the Chipmunks;2007;217326336;25;2357;2847;4;0;5.2;160000000
Madagascar 3: Europe's Most Wanted;2012;216366733;35;2057;2444;4;0;6.9;145000000
Saving Private Ryan;1998;216119491;14000;42000;44998;10;2;8.6;170000000
Mission: Impossible II;2000;215397307;6100;11447;11930;8;0;6.1;125000000
Kung Fu Panda;2008;215395021;5400;12529;12754;8;0;7.6;130000000
X-Men 2;2003;214948780;0;20851;20952;9;4;7.5;110000000
Austin Powers in Goldmember;2002;213079163;1160;1648;2725;5;2;6.2;163000000
Back to the Future;1985;210609762;0;2149;3230;5;0;8.5;119000000
300;2006;210592590;0;31447;32360;10;0;7.7;165000000
Fast Five;2011;209805005;6810;49000;55345;10;3;7.3;125000000
Mission: Impossible - Ghost Protocol;2011;209364921;6630;20690;21768;9;3;7.4;145000000
Sherlock Holmes;2009;209019489;0;22706;23996;9;3;7.6;190000000
Dawn of the Planet of the Apes;2014;208543795;1980;12884;14363;8;0;7.6;170000000
Charlie and the Chocolate Factory;2005;206456431;13000;56588;57844;10;3;6.7;150000000
Ratatouille;2007;206435493;6630;2954;4764;7;0;8;150000000
Thor: The Dark World;2013;206360018;2300;58000;59803;10;3;7.1;170000000
Austin Powers: The Spy Who Shagged Me;1999;205399422;1160;46126;47203;10;1;6.6;133000000
Batman Begins;2005;205343774;22000;48000;59558;10;0;8.3;150000000
Terminator 2: Judgment Day;1991;204843350;0;1923;2829;4;0;8.5;102000000
The Exorcist;1973;204565000;6070;2190;2466;6;0;8;118000000
The Amazing Spider-Man 2;2014;202853933;4604;25825;28631;10;0;6.7;200000000
World War Z;2013;202351611;3950;29000;32392;10;0;7;190000000
The Mummy Returns;2001;202007640;2080;15591;15972;8;5;6.3;198000000
Armageddon;1998;201573391;0;25537;26029;9;0;6.6;140000000
Cinderella;2015;201148159;0;3022;4671;6;1;7;195000000
Cinderella;2015;201148159;0;3022;4671;6;1;7;195000000
Tangled;2010;200807262;15;1636;2036;3;1;7.8;260000000
Spectre;2015;200074175;0;11554;11700;7;1;6.8;245000000
Superman Returns;2006;200069408;0;28903;29991;9;0;6.1;209000000
Gone with the Wind;1939;198655278;1490;1135;1862;4;1;8.2;113977000
Pearl Harbor;2001;198539855;0;4652;5401;6;0;6.1;140000000
Monsters vs. Aliens;2009;198332128;11;2432;2579;4;2;6.5;175000000
Happy Feet;2006;197992827;750;69971;70996;10;0;6.5;100000000
Indiana Jones and the Last Crusade;1989;197171806;14000;12284;12884;8;5;8.3;148000000
Ice Age: Dawn of the Dinosaurs;2009;196573705;1070;1208;1258;3;0;7;190000000
Ice Age: The Meltdown;2006;195329763;1070;1666;1815;4;0;6.9;180000000
Mission: Impossible - Rogue Nation;2015;195000874;1880;20641;21840;9;0;7.4;150000000
Madagascar;2005;193136719;35;1466;1777;3;0;6.9;175000000
Toy Story;1995;191796233;487;16802;19046;8;1;8.3;130000000
22 Jump Street;2014;191616238;907;18504;19428;8;2;7.1;150000000
Cars 2;2011;191450875;487;2695;4482;6;0;6.3;200000000
Twilight;2008;191449475;3080;39000;44060;10;1;5.2;137000000
Twilight;2008;191449475;308;39000;44061;10;1;5.2;137000000
Teenage Mutant Ninja Turtles;2014;190871240;4730;2071;2690;6;0;5.9;125000000
Teenage Mutant Ninja Turtles;2014;190871240;4730;2071;2690;6;0;5.9;125000000
Men in Black II;2002;190418803;1880;13826;14823;8;2;6.1;140000000
Wreck-It Ralph;2012;189412677;66;2739;4451;5;1;7.8;165000000
Interstellar;2014;187991439;22000;28000;31488;10;1;8.6;165000000
Gladiator;2000;187670866;0;4628;6521;6;0;8.5;103000000
The Croods;2013;187165546;16;43000;43286;10;3;7.3;135000000
Sherlock Holmes: A Game of Shadows;2011;186830669;0;22133;22403;9;2;7.5;125000000
The Day After Tomorrow;2004;186739919;776;17812;20553;8;0;6.4;125000000
Mr. & Mrs. Smith;2005;186336103;218;22322;22722;9;2;6.5;120000000
Snow White and the Seven Dwarfs;1937;184925485;7000;1610;2129;6;1;7.7;112000000
Dances with Wolves;1990;184208848;0;2004;2398;4;1;8;122000000
Batman Forever;1995;184031112;541;2310;2880;5;4;5.4;100000000
The Fugitive;1993;183875760;99;12812;13357;7;1;7.8;144000000
The Revenant;2015;183635922;0;56733;57108;10;0;8.1;135000000
Pitch Perfect 2;2015;183436380;0;11751;13159;7;8;6.5;129000000
Ocean's Eleven;2001;183405771;0;12471;13028;7;4;7.8;185000000
The Simpsons Movie;2007;183132370;300;1618;3086;4;0;7.4;175000000
What Women Want;2000;182805123;278;3867;5838;6;1;6.4;170000000
The Perfect Storm;2000;182618434;249;1883;2684;4;0;6.4;140000000
Lincoln;2012;182204440;14000;24481;25517;10;0;7.4;165000000
Liar Liar;1997;181395380;2930;1182;2070;5;1;6.8;145000000
Grease;1978;181360000;116;2842;5127;6;2;7.2;116000000
Jurassic Park III;2001;181166115;394;1815;2574;4;0;5.9;193000000
Thor;2011;181015141;0;58000;60059;10;1;7;150000000
Mission: Impossible;1996;180965237;0;11898;12760;7;0;7.1;180000000
Ant-Man;2015;180191634;235;4680;5730;6;6;7.4;130000000
Planet of the Apes;2001;180011740;13000;2225;2776;7;0;5.7;100000000
Planet of the Apes;2001;180011740;13000;2225;2776;7;0;5.7;100000000
Madagascar: Escape 2 Africa;2008;179982968;3500;2287;3285;6;0;6.7;150000000
X-Men Origins: Wolverine;2009;179883016;1510;38000;40054;10;0;6.7;150000000
Indiana Jones and the Temple of Doom;1984;179870271;14000;11666;11898;8;2;7.6;128000000
Men in Black 3;2012;179020854;1880;11534;12572;7;1;6.8;225000000
Pretty Woman;1990;178406268;0;9695;11135;7;2;6.9;114000000
Hitch;2005;177575142;7200;11656;13426;8;1;6.6;170000000
Home;2015;177343675;1200;17706;17883;8;0;6.7;135000000
Home;2015;177343675;1200;17706;17883;8;0;6.7;135000000
Home;2015;177343675;1200;17706;17883;8;0;6.7;135000000
Night at the Museum: Battle of the Smithsonian;2009;177243721;1890;53000;54039;10;2;5.9;150000000
Tootsie;1982;177200000;521;14002;14701;8;1;7.4;122000000
How to Train Your Dragon 2;2014;176997107;255;21953;23378;9;5;7.9;145000000
Top Gun;1986;176781728;12000;11555;13069;8;2;6.9;115000000
Rise of the Planet of the Apes;2011;176740650;81;12779;13118;7;0;7.6;93000000
Captain America: The First Avenger;2011;176636816;394;16000;19761;8;0;6.9;140000000
There's Something About Mary;1998;176483808;101;2526;4664;5;1;7.1;123000000
Ice Age;2002;176387405;77;2774;5437;6;0;7.6;159000000
The Bourne Supremacy;2004;176049130;521;13934;14161;8;1;7.8;175000000
Crocodile Dundee;1986;174635000;4;697;822;1;1;6.5;118800000
Home Alone 2: Lost in New York;1992;173585516;0;5000;7860;6;2;6.6;118000000
Elf;2003;173381405;4000;41000;43354;10;1;6.9;133000000
National Treasure;2004;173005002;226;12966;13679;7;0;6.9;100000000
Rain Man;1988;172825435;272;11526;12285;7;3;8;125000000
Air Force One;1997;172620724;249;21936;23603;9;1;6.4;185000000
Apollo 13;1995;172071312;2000;16520;17171;8;0;7.6;162000000
TRON: Legacy;2010;172051787;364;23000;25550;9;0;6.8;170000000
TRON: Legacy;2010;172051787;364;23000;25549;9;0;6.8;170000000
The Matrix;1999;171383253;0;18244;18563;8;3;8.7;163000000
True Grit;2010;171031347;1000;25538;25964;9;0;7.7;138000000
A Beautiful Mind;2001;170708996;2000;2127;2827;5;0;8.2;158000000
Chicago;2002;170684505;252;780;813;1;0;7.2;145000000
The Help;2011;169705587;150;20000;23227;9;2;8.1;125000000
Hotel Transylvania 2;2015;169692572;266;23859;26839;9;0;6.7;80000000
Bridesmaids;2011;169076745;176;1837;3229;4;6;6.8;32500000
Quantum of Solace;2008;168368427;395;1256;2023;3;1;6.7;200000000
Wild Hogs;2007;168213584;12;1060;1412;2;3;5.9;62500000
3 Men and a Baby;1987;167780960;12000;20676;21499;9;4;5.9;11000000
Gone Girl;2014;167735396;21000;2272;4348;7;0;8.1;61000000
Casino Royale;2006;167007184;258;7834;9125;7;1;8;150000000
Casino Royale;2006;167007184;258;7834;9125;7;1;8;150000000
Meet the Parents;2000;166225040;116;23421;24286;9;2;7;55000000
Fifty Shades of Grey;2015;166147885;456;2651;4585;6;0;4.1;40000000
2012;2009;166112167;776;1778;2144;4;0;5.8;200000000
Robin Hood: Prince of Thieves;1991;165500000;58;36720;38518;10;0;6.9;48000000
Kung Fu Panda 2;2011;165230261;90;21015;21015;9;0;7.3;150000000
Catch Me If You Can;2002;164435221;14000;47000;48153;10;0;8;52000000
The Proposal;2009;163947053;98;17619;18656;8;1;6.7;40000000
Big Daddy;1999;163479795;221;23781;26760;9;0;6.4;134200000
The Sound of Music;1965;163214286;338;758;1495;2;3;8;18200000
Clash of the Titans;2010;163192114;255;15850;18003;8;0;5.8;125000000
Clash of the Titans;2010;163192114;255;15850;18003;8;0;5.8;125000000
Batman Returns;1992;162831698;13000;2121;2899;7;0;7;80000000
Django Unchained;2012;162804648;16000;40265;40978;10;1;8.5;100000000
A Bug's Life;1998;162792677;487;20000;24205;9;0;7.2;120000000
The Pursuit of Happyness;2006;162586036;125;10785;11036;7;0;8;55000000
The SpongeBob Movie: Sponge Out of Water;2015;162495848;5;2457;5217;6;0;6;74000000
Grown Ups;2010;162001186;221;27000;28497;9;4;6;80000000
The Waterboy;1998;161487252;153;12427;13823;7;0;6.1;120000000
Ice Age: Continental Drift;2012;161317423;20;23916;25354;9;0;6.6;95000000
Suicide Squad;2016;161087183;452;10665;11287;7;8;6.9;175000000
Straight Outta Compton;2015;161029270;473;1289;2702;4;0;7.9;28000000
Shark Tale;2004;160762022;10;50000;63165;10;0;6;75000000
Die Another Day;2002;160201106;93;2281;2538;4;0;6.1;142000000
The Sting;1973;159600000;131;1976;2387;4;0;8.3;15500000
The Heat;2013;159578352;176;2539;4825;6;7;6.6;143000000
The Firm;1993;158348400;521;11957;14244;7;0;6.8;142000000
The Longest Yard;2005;158115031;88;11858;13693;7;11;6.4;182000000
X-Men;2000;157299717;0;21269;21397;9;0;7.4;75000000
Fatal Attraction;1987;156645693;213;1411;1639;3;0;6.9;114000000
What Lies Beneath;2000;155370362;0;12195;12890;7;0;6.6;100000000
San Andreas;2015;155181732;62;14884;16718;8;0;6.1;110000000
Snow White and the Huntsman;2012;155111815;274;54000;72881;10;0;6.1;170000000
Over the Hedge;2006;155019340;12;20925;22813;9;1;6.8;80000000
X-Men: Apocalypse;2016;154985087;0;48000;49684;10;6;7.3;178000000
Beverly Hills Cop II;1987;153665036;12000;2442;4121;7;1;6.4;28000000
Mad Max: Fury Road;2015;153629485;750;36943;40025;10;0;8.1;150000000
Jerry Maguire;1996;153620822;488;11340;12182;7;0;7.3;50000000
Scooby-Doo;2002;153288182;67;6271;6355;6;3;4.9;184000000
Runaway Bride;1999;152149590;0;11995;12790;7;2;5.5;70000000
Divergent;2014;150832203;168;20000;22226;9;2;6.7;85000000
Rambo: First Blood Part II;1985;150415432;170;14406;15662;8;0;6.4;44000000
We're the Millers;2013;150368971;43;2098;3425;5;4;7;37000000
Terminator 3: Rise of the Machines;2003;150350192;84;1123;1769;2;0;6.4;200000000
Daddy's Home;2015;150315155;51;10322;10886;7;2;6.1;50000000
G.I. Joe: The Rise of Cobra;2009;150167630;208;25570;26683;9;4;5.8;175000000
American Hustle;2013;150117807;737;71000;83012;10;5;7.3;40000000
Neighbors;2014;150056505;89;2047;2771;4;3;6.4;18000000
Puss in Boots;2011;149234747;50;4839;5046;6;0;6.7;130000000
Les Mis�rables;2012;148775460;0;44000;46204;10;1;7.6;61000000
Knocked Up;2007;148734225;0;12514;12874;7;2;7;30000000
Little Fockers;2010;148383780;80;23421;24082;9;10;5.5;100000000
Megamind;2010;148337537;96;43000;46120;10;3;7.3;130000000
Hotel Transylvania;2012;148313048;266;34000;37142;10;2;7.1;85000000
Talladega Nights: The Ballad of Ricky Bobby;2006;148213377;285;9989;12410;7;5;6.6;73000000
Gremlins;1984;148170000;287;1281;2053;3;0;7.2;111000000
Gran Torino;2008;148085755;16000;16799;17347;9;0;8.2;33000000
As Good as It Gets;1997;147637474;274;1350;1474;3;0;7.7;50000000
X-Men: First Class;2011;146405371;905;48000;50983;10;3;7.8;160000000
True Lies;1994;146282411;0;3618;4528;6;0;7.2;115000000
Lilo & Stitch;2002;145771527;255;1976;3112;4;0;7.2;80000000
American Pie 2;2001;145096820;6;5000;7872;6;0;6.4;30000000
Taken;2008;145000989;180;15301;16461;8;0;7.9;125000000
The Santa Clause;1994;144833357;11;2271;2790;4;0;6.4;22000000
The Great Gatsby;2013;144812796;1000;29586;29770;10;4;7.3;105000000
The Great Gatsby;2013;144812796;1000;29585;29769;10;4;7.3;105000000
I Robot;2004;144795350;295;11447;12068;7;1;7.1;120000000
Lethal Weapon 3;1992;144731527;503;1179;1446;3;2;6.7;135000000
The Fast and the Furious;2001;144512310;357;41000;45327;10;2;6.7;138000000
The Fast and the Furious;2001;144512310;357;41000;45327;10;2;6.7;138000000
The Fast and the Furious;2001;144512310;357;41000;45327;10;2;6.7;138000000
Doctor Dolittle;1998;144156464;84;2595;4166;5;0;5.3;71500000
Mamma Mia!;2008;143704210;58;25838;26002;9;1;6.3;52000000
Rio;2011;143618384;107;11910;12071;7;0;7;90000000
Kung Fu Panda 3;2016;143523463;5;35967;36095;10;0;7.2;145000000
Juno;2007;143492840;655;27973;28817;9;0;7.5;17500000
Juno;2007;143492840;655;27973;28817;9;0;7.5;17500000
Marley & Me;2008;143151473;64;3563;4811;6;0;7.1;60000000
The Smurfs;2011;142614158;67;607;692;1;3;5.5;110000000
The Chronicles of Narnia: Prince Caspian;2008;141614023;80;22417;22697;9;4;6.6;225000000
Pocahontas;1995;141600000;12;25752;26754;9;1;6.6;55000000
Animal House;1978;141600000;644;2342;3468;5;6;7.6;13000000
A Few Good Men;1992;141340178;0;12574;14619;7;0;7.6;140000000
Slumdog Millionaire;2008;141319195;0;764;820;1;0;8;15000000
xXx;2002;141204016;357;14435;14790;8;0;5.8;70000000
The Blair Witch Project;1999;140530114;19;379;399;1;0;6.4;11160000
Deep Impact;1998;140459099;75;18000;22750;9;0;6.1;75000000
Rush Hour 3;2007;140080850;420;709;1125;2;2;6.2;140000000
Stuart Little;1999;140015224;50;2557;3382;5;0;5.9;133000000
Taken 2;2012;139852971;118;15493;16410;8;0;6.3;45000000
The Matrix Revolutions;2003;139259759;0;811;1062;2;0;6.7;150000000
The Santa Clause 2;2002;139225854;54;2533;5265;6;0;5.5;60000000
The King's Speech;2010;138795342;0;15520;15732;8;0;8;15000000
Cheaper by the Dozen;2003;138614544;189;5597;7014;6;15;5.8;40000000
21 Jump Street;2012;138447667;97;18810;19968;8;2;7.2;42000000
Bad Boys II;2003;138396624;0;11775;12954;7;1;6.6;130000000
Good Will Hunting;1997;138339411;835;62893;63710;10;2;8.3;10000000
Platoon;1986;137963328;0;41430;42028;10;0;8.1;16000000
A Christmas Carol;2009;137850096;0;42000;48878;10;0;6.8;200000000
Dinosaur;2000;137748063;0;1946;2945;4;1;6.5;127500000
The Conjuring;2013;137387272;0;7657;9049;7;0;7.5;20000000
Click;2006;137340146;153;12233;12700;7;1;6.4;70000000
The Green Mile;1999;136801374;0;16438;17716;8;0;8.5;160000000
Ransom;1996;136448821;2000;2616;3667;6;1;6.6;80000000
Argo;2012;136019448;0;2310;3133;5;1;7.7;44500000
Chicken Little;2005;135381507;10;2051;2252;4;0;5.8;150000000
Patch Adams;1998;135014968;293;71878;74382;10;1;6.7;50000000
The Godfather;1972;134821952;0;27000;28122;9;1;9.2;6000000
Wanted;2008;134568845;335;22988;25763;9;0;6.7;75000000
Live Free or Die Hard;2007;134520804;235;13597;13961;7;1;7.2;110000000
The Incredible Hulk;2008;134518390;255;4882;5811;6;0;6.8;150000000
Identity Thief;2013;134455175;91;5584;5826;6;2;5.7;35000000
Superman;1978;134218018;503;11060;12940;7;0;7.3;155000000
Ride Along;2014;134141530;167;1636;2394;3;1;6.2;25000000
The Rock;1996;134006721;0;14904;15999;8;1;7.4;75000000
Grown Ups 2;2013;133668525;221;34000;39269;10;4;5.4;80000000
Mission: Impossible III;2006;133382309;14000;32979;34817;10;0;6.9;150000000
Angels & Demons;2009;133375846;2000;16039;16948;8;2;6.7;150000000
Troy;2004;133228348;249;16844;17944;8;2;7.2;175000000
Alvin and the Chipmunks: Chipwrecked;2011;133103929;31;2733;4073;5;0;4.4;75000000
The Wolverine;2013;132550960;446;21921;23755;9;1;6.7;120000000
Bringing Down the House;2003;132541238;163;1747;2505;4;2;5.5;33000000
The Departed;2006;132373442;17000;43000;45648;10;0;8.5;90000000
Hulk;2003;132122995;0;1378;1814;3;0;5.7;137000000
Silver Linings Playbook;2012;132088910;737;70000;72115;10;0;7.8;21000000
Minority Report;2002;132014112;14000;11331;12546;8;0;7.7;102000000
Fantastic 4: Rise of the Silver Surfer;2007;131920333;167;13702;15302;8;3;5.6;130000000
The Last Airbender;2010;131564731;0;2102;2857;4;0;4.2;150000000
Rio 2;2014;131536019;107;981;1031;2;0;6.4;103000000
